transaction_id,timestamp,amount,description,customer_id,payment_method
TXN_000002,2025-12-13T03:48:54.342990,5.47,Espresso Drinks,CUST_0035,card
TXN_000123,2025-12-13T03:49:54.342990,13.37,Coffee,CUST_0027,card
TXN_000097,2025-12-13T05:19:54.342990,8.71,Lunch,CUST_0031,card
TXN_000053,2025-12-13T05:42:54.342990,22.46,Coffee,CUST_0058,card
TXN_000066,2025-12-13T13:56:54.342990,8.29,Breakfast,CUST_0039,card
TXN_000164,2025-12-14T03:14:54.342990,11.53,Merchandise,CUST_0052,cash
TXN_000145,2025-12-14T04:28:54.342990,23.71,Merchandise,CUST_0064,card
TXN_000040,2025-12-14T06:23:54.342990,23.03,Merchandise,CUST_0063,card
TXN_000041,2025-12-14T07:10:54.342990,7.54,Espresso Drinks,CUST_0061,card
TXN_000138,2025-12-14T08:12:54.342990,22.81,Pastries,CUST_0065,cash
TXN_000027,2025-12-14T08:58:54.342990,19.95,Lunch,CUST_0066,card
TXN_000057,2025-12-14T10:54:54.342990,21.31,Lunch,CUST_0014,card
TXN_000015,2025-12-14T11:37:54.342990,11.34,Coffee,CUST_0054,card
TXN_000006,2025-12-14T14:07:54.342990,21.24,Lunch,CUST_0019,card
TXN_000186,2025-12-15T05:25:54.342990,12.24,Breakfast,CUST_0008,cash
TXN_000087,2025-12-15T06:26:54.342990,28.17,Espresso Drinks,CUST_0046,card
TXN_000134,2025-12-15T07:39:54.342990,23.52,Coffee,CUST_0065,card
TXN_000086,2025-12-15T08:22:54.342990,30.97,Espresso Drinks,CUST_0021,cash
TXN_000089,2025-12-15T08:24:54.342990,30.38,Pastries,CUST_0027,card
TXN_000193,2025-12-15T08:41:54.342990,20.19,Merchandise,CUST_0042,card
TXN_000120,2025-12-16T04:58:54.342990,24.25,Espresso Drinks,CUST_0013,card
TXN_000118,2025-12-16T08:09:54.342990,14.8,Pastries,CUST_0004,card
TXN_000102,2025-12-16T08:56:54.342990,18.51,Pastries,CUST_0053,cash
TXN_000050,2025-12-16T10:12:54.342990,13.41,Pastries,CUST_0003,cash
TXN_000192,2025-12-17T03:07:54.342990,18.13,Lunch,CUST_0059,cash
TXN_000180,2025-12-17T04:32:54.342990,22.11,Lunch,CUST_0020,card
TXN_000129,2025-12-17T07:19:54.342990,14.92,Breakfast,CUST_0019,card
TXN_000115,2025-12-17T08:08:54.342990,5.79,Coffee,CUST_0010,card
TXN_000126,2025-12-17T10:23:54.342990,9.0,Lunch,CUST_0010,card
TXN_000067,2025-12-17T10:28:54.342990,27.18,Merchandise,CUST_0024,card
TXN_000048,2025-12-17T13:40:54.342990,11.55,Lunch,CUST_0016,card
TXN_000160,2025-12-18T04:13:54.342990,26.62,Pastries,CUST_0034,card
TXN_000112,2025-12-18T06:57:54.342990,10.11,Breakfast,CUST_0044,cash
TXN_000019,2025-12-18T07:07:54.342990,5.19,Merchandise,CUST_0062,card
TXN_000091,2025-12-18T12:48:54.342990,29.47,Breakfast,CUST_0045,card
TXN_000078,2025-12-19T04:41:54.342990,8.37,Merchandise,CUST_0031,card
TXN_000165,2025-12-19T05:08:54.342990,21.37,Espresso Drinks,CUST_0020,card
TXN_000176,2025-12-19T06:27:54.342990,15.77,Lunch,CUST_0029,card
TXN_000107,2025-12-19T08:48:54.342990,8.57,Breakfast,CUST_0045,card
TXN_000104,2025-12-19T09:57:54.342990,23.82,Lunch,CUST_0066,card
TXN_000185,2025-12-19T10:24:54.342990,13.81,Merchandise,CUST_0056,card
TXN_000148,2025-12-19T11:09:54.342990,19.31,Pastries,CUST_0039,cash
TXN_000150,2025-12-19T12:33:54.342990,14.71,Breakfast,CUST_0052,cash
TXN_000121,2025-12-19T13:02:54.342990,19.54,Pastries,CUST_0011,card
TXN_000196,2025-12-20T08:54:54.342990,9.55,Coffee,CUST_0032,card
TXN_000194,2025-12-20T11:49:54.342990,20.36,Breakfast,CUST_0060,cash
TXN_000135,2025-12-20T12:04:54.342990,16.33,Breakfast,CUST_0023,card
TXN_000144,2025-12-21T03:53:54.342990,20.29,Espresso Drinks,CUST_0020,card
TXN_000128,2025-12-21T07:51:54.342990,21.36,Merchandise,CUST_0065,card
TXN_000033,2025-12-21T08:29:54.342990,5.19,Pastries,CUST_0028,cash
TXN_000147,2025-12-21T09:06:54.342990,23.43,Coffee,CUST_0023,cash
TXN_000182,2025-12-21T09:19:54.342990,13.49,Espresso Drinks,CUST_0057,card
TXN_000001,2025-12-21T10:46:54.342990,10.27,Coffee,CUST_0009,card
TXN_000028,2025-12-21T11:35:54.342990,13.97,Espresso Drinks,CUST_0007,card
TXN_000151,2025-12-21T14:24:54.342990,18.77,Espresso Drinks,CUST_0025,card
TXN_000069,2025-12-22T03:52:54.342990,11.44,Lunch,CUST_0026,card
TXN_000008,2025-12-22T04:16:54.342990,4.83,Lunch,CUST_0004,card
TXN_000076,2025-12-22T05:19:54.342990,25.44,Espresso Drinks,CUST_0052,card
TXN_000158,2025-12-22T06:31:54.342990,9.3,Espresso Drinks,CUST_0003,cash
