transaction_id,timestamp,amount,description,customer_id,payment_method
TXN_000174,2025-12-13T04:00:54.341442,5.51,Breakfast,CUST_0006,card
TXN_000114,2025-12-13T06:05:54.341442,9.74,Lunch,CUST_0033,card
TXN_000026,2025-12-13T07:36:54.341442,9.9,Pastries,CUST_0056,card
TXN_000047,2025-12-13T09:01:54.341442,15.77,Merchandise,CUST_0035,card
TXN_000092,2025-12-13T13:25:54.341442,17.22,Pastries,CUST_0053,card
TXN_000086,2025-12-13T13:50:54.341442,16.28,Espresso Drinks,CUST_0046,card
TXN_000084,2025-12-13T14:27:54.341442,18.32,Coffee,CUST_0031,card
TXN_000100,2025-12-14T08:54:54.341442,5.35,Espresso Drinks,CUST_0005,card
TXN_000170,2025-12-14T13:52:54.341442,6.44,Merchandise,CUST_0053,card
TXN_000163,2025-12-15T04:36:54.341442,6.11,Espresso Drinks,CUST_0060,cash
TXN_000058,2025-12-15T05:37:54.341442,12.8,Espresso Drinks,CUST_0040,card
TXN_000166,2025-12-15T05:58:54.341442,25.84,Espresso Drinks,CUST_0053,card
TXN_000045,2025-12-15T07:34:54.341442,8.41,Pastries,CUST_0021,cash
TXN_000102,2025-12-15T08:25:54.341442,22.6,Lunch,CUST_0062,card
TXN_000099,2025-12-15T09:03:54.341442,4.84,Pastries,CUST_0019,card
TXN_000119,2025-12-16T13:46:54.341442,29.84,Breakfast,CUST_0002,card
TXN_000038,2025-12-17T03:30:54.341442,30.22,Breakfast,CUST_0056,card
TXN_000112,2025-12-17T05:36:54.341442,10.47,Merchandise,CUST_0039,card
TXN_000131,2025-12-17T05:54:54.341442,16.44,Coffee,CUST_0041,cash
TXN_000055,2025-12-17T06:29:54.341442,23.67,Breakfast,CUST_0013,card
TXN_000165,2025-12-17T07:11:54.341442,17.67,Espresso Drinks,CUST_0051,card
TXN_000151,2025-12-17T08:13:54.341442,16.75,Pastries,CUST_0033,card
TXN_000021,2025-12-17T08:32:54.341442,30.49,Lunch,CUST_0010,card
TXN_000177,2025-12-17T13:34:54.341442,8.05,Breakfast,CUST_0058,card
TXN_000140,2025-12-17T13:52:54.341442,9.66,Merchandise,CUST_0015,card
TXN_000057,2025-12-18T03:14:54.341442,12.69,Pastries,CUST_0005,cash
TXN_000095,2025-12-18T07:39:54.341442,18.27,Merchandise,CUST_0003,card
TXN_000147,2025-12-18T11:05:54.341442,31.22,Merchandise,CUST_0018,card
TXN_000098,2025-12-18T12:32:54.341442,13.77,Merchandise,CUST_0033,card
TXN_000182,2025-12-19T05:42:54.341442,7.22,Pastries,CUST_0026,card
TXN_000082,2025-12-19T07:16:54.341442,16.98,Lunch,CUST_0066,card
TXN_000143,2025-12-19T07:50:54.341442,26.19,Merchandise,CUST_0004,card
TXN_000122,2025-12-19T10:14:54.341442,9.56,Coffee,CUST_0006,card
TXN_000150,2025-12-19T14:10:54.341442,14.79,Espresso Drinks,CUST_0004,card
