transaction_id,timestamp,amount,description,customer_id,payment_method
TXN_000020,2025-12-13T03:21:54.336824,29.59,Personal Training,CUST_0022,card
TXN_000138,2025-12-13T05:02:54.336824,115.99,Monthly Membership,CUST_0012,card
TXN_000188,2025-12-13T05:17:54.336824,97.06,Personal Training,CUST_0017,card
TXN_000174,2025-12-13T07:49:54.336824,129.77,Monthly Membership,CUST_0017,card
TXN_000137,2025-12-13T10:16:54.336824,22.49,Class Drop-in,CUST_0043,card
TXN_000022,2025-12-13T10:54:54.336824,89.27,Personal Training,CUST_0010,card
TXN_000105,2025-12-13T10:57:54.336824,88.13,Merchandise,CUST_0066,card
TXN_000193,2025-12-13T13:04:54.336824,111.19,Merchandise,CUST_0049,cash
TXN_000157,2025-12-13T13:47:54.336824,136.56,Monthly Membership,CUST_0041,cash
TXN_000151,2025-12-14T05:47:54.336824,121.37,Day Pass,CUST_0054,cash
TXN_000072,2025-12-14T06:48:54.336824,21.24,Personal Training,CUST_0009,card
TXN_000041,2025-12-14T09:01:54.336824,47.97,Day Pass,CUST_0010,card
TXN_000036,2025-12-14T09:05:54.336824,36.08,Monthly Membership,CUST_0052,card
TXN_000097,2025-12-15T04:36:54.336824,66.69,Monthly Membership,CUST_0050,card
TXN_000081,2025-12-15T05:35:54.336824,110.41,Monthly Membership,CUST_0030,card
TXN_000111,2025-12-15T09:55:54.336824,32.68,Class Drop-in,CUST_0011,cash
TXN_000080,2025-12-15T10:04:54.336824,58.93,Personal Training,CUST_0042,card
TXN_000183,2025-12-16T04:06:54.336824,67.86,Class Drop-in,CUST_0011,card
TXN_000037,2025-12-16T05:42:54.336824,47.2,Personal Training,CUST_0064,card
TXN_000102,2025-12-16T05:57:54.336824,100.4,Monthly Membership,CUST_0050,card
TXN_000011,2025-12-16T07:38:54.336824,99.51,Class Drop-in,CUST_0055,card
TXN_000181,2025-12-16T07:59:54.336824,172.18,Class Drop-in,CUST_0044,card
TXN_000082,2025-12-16T10:07:54.336824,162.66,Day Pass,CUST_0050,card
TXN_000139,2025-12-16T12:15:54.336824,60.72,Monthly Membership,CUST_0034,card
TXN_000034,2025-12-16T14:22:54.336824,78.74,Day Pass,CUST_0015,card
TXN_000156,2025-12-17T02:59:54.336824,185.95,Day Pass,CUST_0047,card
TXN_000165,2025-12-17T06:26:54.336824,56.83,Class Drop-in,CUST_0012,cash
TXN_000093,2025-12-17T06:49:54.336824,154.41,Day Pass,CUST_0009,cash
TXN_000017,2025-12-17T09:39:54.336824,132.17,Personal Training,CUST_0004,card
TXN_000083,2025-12-17T09:51:54.336824,122.26,Class Drop-in,CUST_0040,card
TXN_000190,2025-12-17T10:34:54.336824,127.53,Monthly Membership,CUST_0042,cash
TXN_000064,2025-12-17T14:29:54.336824,47.02,Day Pass,CUST_0019,card
TXN_000023,2025-12-18T04:30:54.336824,29.04,Day Pass,CUST_0062,card
TXN_000054,2025-12-18T11:18:54.336824,20.18,Monthly Membership,CUST_0044,card
TXN_000123,2025-12-18T11:43:54.336824,76.7,Day Pass,CUST_0063,card
TXN_000106,2025-12-18T12:23:54.336824,70.29,Personal Training,CUST_0066,card
TXN_000047,2025-12-18T13:16:54.336824,148.38,Class Drop-in,CUST_0043,cash
TXN_000024,2025-12-19T03:09:54.336824,19.75,Personal Training,CUST_0025,card
TXN_000110,2025-12-19T04:12:54.336824,73.05,Monthly Membership,CUST_0064,card
TXN_000025,2025-12-19T04:56:54.336824,106.11,Day Pass,CUST_0015,card
TXN_000140,2025-12-19T05:26:54.336824,124.24,Class Drop-in,CUST_0018,card
TXN_000187,2025-12-19T06:05:54.336824,40.64,Monthly Membership,CUST_0025,card
TXN_000195,2025-12-19T10:14:54.336824,26.99,Personal Training,CUST_0006,cash
TXN_000066,2025-12-19T11:29:54.336824,79.25,Merchandise,CUST_0011,cash
TXN_000030,2025-12-20T05:36:54.336824,121.11,Personal Training,CUST_0064,card
TXN_000168,2025-12-20T07:23:54.336824,26.8,Day Pass,CUST_0041,cash
TXN_000026,2025-12-20T07:46:54.336824,77.01,Merchandise,CUST_0057,card
TXN_000067,2025-12-20T08:40:54.336824,107.86,Merchandise,CUST_0012,cash
TXN_000145,2025-12-20T10:13:54.336824,134.06,Class Drop-in,CUST_0039,card
TXN_000104,2025-12-20T12:26:54.336824,96.3,Personal Training,CUST_0040,card
TXN_000056,2025-12-20T12:30:54.336824,53.62,Monthly Membership,CUST_0003,card
TXN_000109,2025-12-20T13:21:54.336824,19.96,Personal Training,CUST_0045,card
TXN_000007,2025-12-20T14:09:54.336824,88.67,Personal Training,CUST_0056,card
TXN_000189,2025-12-21T03:14:54.336824,89.38,Monthly Membership,CUST_0001,card
TXN_000099,2025-12-21T06:19:54.336824,131.48,Personal Training,CUST_0048,card
TXN_000161,2025-12-21T09:41:54.336824,85.05,Personal Training,CUST_0048,cash
TXN_000176,2025-12-21T10:22:54.336824,44.72,Day Pass,CUST_0043,card
TXN_000075,2025-12-21T11:18:54.336824,33.94,Class Drop-in,CUST_0008,card
TXN_000049,2025-12-21T11:42:54.336824,20.41,Day Pass,CUST_0023,cash
TXN_000088,2025-12-21T13:42:54.336824,26.92,Personal Training,CUST_0031,card
TXN_000100,2025-12-22T07:25:54.336824,81.5,Merchandise,CUST_0003,card
TXN_000004,2025-12-22T08:29:54.336824,106.32,Merchandise,CUST_0034,card
TXN_000096,2025-12-22T13:23:54.336824,131.59,Monthly Membership,CUST_0001,card
TXN_000148,2025-12-22T13:23:54.336824,94.82,Day Pass,CUST_0004,card
TXN_000162,2025-12-23T04:34:54.336824,177.39,Class Drop-in,CUST_0052,card
TXN_000035,2025-12-23T05:27:54.336824,124.98,Day Pass,CUST_0046,card
TXN_000077,2025-12-23T07:10:54.336824,89.34,Monthly Membership,CUST_0012,card
TXN_000013,2025-12-23T07:45:54.336824,31.75,Personal Training,CUST_0036,card
TXN_000127,2025-12-23T08:54:54.336824,77.27,Personal Training,CUST_0061,card
TXN_000018,2025-12-23T09:34:54.336824,123.47,Class Drop-in,CUST_0058,cash
TXN_000101,2025-12-23T11:17:54.336824,161.41,Day Pass,CUST_0011,card
TXN_000048,2025-12-24T03:14:54.336824,57.29,Day Pass,CUST_0059,cash
TXN_000084,2025-12-24T03:47:54.336824,113.96,Day Pass,CUST_0008,card
TXN_000032,2025-12-24T06:15:54.336824,181.63,Merchandise,CUST_0010,card
TXN_000076,2025-12-24T06:56:54.336824,75.28,Monthly Membership,CUST_0002,card
TXN_000113,2025-12-24T09:12:54.336824,26.42,Class Drop-in,CUST_0036,card
TXN_000010,2025-12-24T10:09:54.336824,63.42,Monthly Membership,CUST_0047,card
TXN_000094,2025-12-24T10:45:54.336824,56.88,Monthly Membership,CUST_0014,card
TXN_000135,2025-12-25T08:24:54.336824,59.06,Merchandise,CUST_0052,card
TXN_000065,2025-12-25T11:43:54.336824,47.27,Personal Training,CUST_0036,card
TXN_000166,2025-12-26T03:05:54.336824,10.12,Class Drop-in,CUST_0053,card
TXN_000147,2025-12-26T12:15:54.336824,23.33,Day Pass,CUST_0064,card
TXN_000043,2025-12-27T02:52:54.336824,64.89,Merchandise,CUST_0057,card
TXN_000120,2025-12-27T04:56:54.336824,21.39,Personal Training,CUST_0062,card
TXN_000185,2025-12-27T06:58:54.336824,53.63,Monthly Membership,CUST_0022,card
TXN_000131,2025-12-27T09:12:54.336824,66.2,Class Drop-in,CUST_0026,card
TXN_000163,2025-12-27T12:53:54.336824,71.06,Class Drop-in,CUST_0053,card
TXN_000031,2025-12-27T12:58:54.336824,19.34,Day Pass,CUST_0044,cash
TXN_000149,2025-12-27T13:45:54.336824,25.47,Class Drop-in,CUST_0002,cash
TXN_000125,2025-12-28T03:31:54.336824,51.88,Class Drop-in,CUST_0037,cash
TXN_000115,2025-12-28T05:18:54.336824,25.3,Class Drop-in,CUST_0062,card
TXN_000068,2025-12-28T09:40:54.336824,69.63,Personal Training,CUST_0022,card
TXN_000091,2025-12-29T02:47:54.336824,110.97,Merchandise,CUST_0063,card
TXN_000160,2025-12-29T03:38:54.336824,105.7,Personal Training,CUST_0054,card
TXN_000154,2025-12-29T04:03:54.336824,44.99,Personal Training,CUST_0020,cash
TXN_000116,2025-12-29T06:46:54.336824,131.02,Personal Training,CUST_0041,card
TXN_000014,2025-12-29T09:01:54.336824,156.63,Merchandise,CUST_0055,card
TXN_000133,2025-12-29T10:32:54.336824,156.0,Class Drop-in,CUST_0055,card
TXN_000052,2025-12-29T10:46:54.336824,179.27,Personal Training,CUST_0007,cash
TXN_000087,2025-12-29T13:29:54.336824,59.58,Personal Training,CUST_0057,card
TXN_000060,2025-12-29T14:20:54.336824,175.66,Merchandise,CUST_0062,card
TXN_000003,2025-12-30T03:53:54.336824,28.5,Monthly Membership,CUST_0029,card
TXN_000015,2025-12-30T05:15:54.336824,83.09,Merchandise,CUST_0022,card
TXN_000150,2025-12-30T07:11:54.336824,129.41,Class Drop-in,CUST_0014,card
TXN_000114,2025-12-30T09:18:54.336824,47.83,Monthly Membership,CUST_0010,card
TXN_000062,2025-12-30T09:40:54.336824,145.48,Merchandise,CUST_0012,cash
TXN_000129,2025-12-30T14:18:54.336824,100.47,Personal Training,CUST_0057,card
TXN_000103,2025-12-31T04:03:54.336824,169.51,Day Pass,CUST_0060,card
TXN_000143,2025-12-31T06:09:54.336824,52.5,Merchandise,CUST_0066,cash
TXN_000016,2025-12-31T08:48:54.336824,28.57,Personal Training,CUST_0034,cash
TXN_000092,2025-12-31T09:27:54.336824,27.12,Personal Training,CUST_0026,card
TXN_000126,2025-12-31T11:57:54.336824,179.77,Day Pass,CUST_0055,card
TXN_000198,2026-01-01T02:42:54.336824,144.4,Personal Training,CUST_0024,cash
TXN_000055,2026-01-01T03:35:54.336824,80.85,Day Pass,CUST_0005,card
TXN_000058,2026-01-01T03:39:54.336824,63.95,Day Pass,CUST_0046,card
TXN_000118,2026-01-01T05:57:54.336824,33.2,Class Drop-in,CUST_0027,card
TXN_000002,2026-01-01T07:18:54.336824,86.06,Merchandise,CUST_0031,cash
TXN_000008,2026-01-01T10:21:54.336824,31.92,Monthly Membership,CUST_0052,card
TXN_000000,2026-01-01T10:28:54.336824,135.15,Day Pass,CUST_0065,card
TXN_000009,2026-01-01T12:24:54.336824,60.52,Personal Training,CUST_0032,card
TXN_000108,2026-01-01T13:56:54.336824,93.34,Class Drop-in,CUST_0017,cash
TXN_000042,2026-01-02T03:27:54.336824,110.57,Class Drop-in,CUST_0056,cash
TXN_000192,2026-01-02T09:04:54.336824,48.54,Class Drop-in,CUST_0062,card
TXN_000199,2026-01-02T10:56:54.336824,134.05,Day Pass,CUST_0021,card
TXN_000057,2026-01-02T11:48:54.336824,47.49,Merchandise,CUST_0018,card
TXN_000029,2026-01-02T14:02:54.336824,125.81,Monthly Membership,CUST_0061,card
TXN_000196,2026-01-03T02:57:54.336824,40.94,Monthly Membership,CUST_0051,cash
TXN_000107,2026-01-03T03:02:54.336824,91.12,Merchandise,CUST_0002,card
TXN_000152,2026-01-03T03:21:54.336824,82.84,Personal Training,CUST_0031,card
TXN_000112,2026-01-03T05:28:54.336824,109.05,Monthly Membership,CUST_0026,card
TXN_000197,2026-01-03T08:09:54.336824,97.24,Monthly Membership,CUST_0029,card
TXN_000155,2026-01-03T11:48:54.336824,65.2,Class Drop-in,CUST_0025,card
TXN_000186,2026-01-03T12:31:54.336824,109.2,Class Drop-in,CUST_0064,card
TXN_000044,2026-01-03T12:56:54.336824,80.25,Personal Training,CUST_0036,cash
TXN_000121,2026-01-03T14:02:54.336824,119.71,Personal Training,CUST_0016,card
TXN_000130,2026-01-04T04:52:54.336824,113.34,Personal Training,CUST_0022,card
TXN_000173,2026-01-04T05:08:54.336824,47.27,Personal Training,CUST_0020,card
TXN_000039,2026-01-04T05:23:54.336824,29.42,Personal Training,CUST_0002,card
TXN_000098,2026-01-04T06:25:54.336824,98.89,Personal Training,CUST_0057,cash
TXN_000182,2026-01-04T06:40:54.336824,90.8,Personal Training,CUST_0029,cash
TXN_000012,2026-01-04T08:13:54.336824,74.19,Merchandise,CUST_0050,card
TXN_000158,2026-01-04T12:49:54.336824,88.3,Merchandise,CUST_0060,card
TXN_000179,2026-01-04T13:25:54.336824,143.35,Personal Training,CUST_0029,cash
TXN_000086,2026-01-04T14:13:54.336824,20.18,Monthly Membership,CUST_0025,card
TXN_000073,2026-01-05T03:43:54.336824,56.93,Monthly Membership,CUST_0065,card
TXN_000078,2026-01-05T05:43:54.336824,138.53,Personal Training,CUST_0052,card
TXN_000171,2026-01-05T09:22:54.336824,18.79,Monthly Membership,CUST_0017,cash
TXN_000180,2026-01-05T12:35:54.336824,117.51,Personal Training,CUST_0025,card
TXN_000071,2026-01-05T13:53:54.336824,151.38,Personal Training,CUST_0001,card
TXN_000059,2026-01-06T05:00:54.336824,167.22,Monthly Membership,CUST_0053,card
TXN_000033,2026-01-06T05:56:54.336824,157.23,Monthly Membership,CUST_0046,card
TXN_000177,2026-01-06T06:14:54.336824,141.27,Class Drop-in,CUST_0030,card
TXN_000159,2026-01-06T08:12:54.336824,86.65,Class Drop-in,CUST_0006,card
TXN_000050,2026-01-06T09:58:54.336824,39.57,Merchandise,CUST_0016,card
TXN_000070,2026-01-06T12:02:54.336824,155.89,Day Pass,CUST_0006,cash
TXN_000146,2026-01-07T04:44:54.336824,131.19,Day Pass,CUST_0012,cash
TXN_000167,2026-01-07T08:48:54.336824,92.26,Day Pass,CUST_0040,cash
TXN_000090,2026-01-07T09:51:54.336824,86.48,Monthly Membership,CUST_0015,card
TXN_000061,2026-01-07T12:30:54.336824,62.71,Class Drop-in,CUST_0065,card
TXN_000124,2026-01-07T13:43:54.336824,159.01,Merchandise,CUST_0046,cash
TXN_000134,2026-01-07T13:50:54.336824,155.12,Personal Training,CUST_0008,card
TXN_000170,2026-01-08T10:59:54.336824,91.76,Class Drop-in,CUST_0047,card
TXN_000001,2026-01-08T11:39:54.336824,64.75,Personal Training,CUST_0047,card
TXN_000136,2026-01-08T14:15:54.336824,126.77,Class Drop-in,CUST_0026,cash
TXN_000028,2026-01-09T04:56:54.336824,131.42,Personal Training,CUST_0013,card
TXN_000040,2026-01-09T05:02:54.336824,139.47,Merchandise,CUST_0007,card
TXN_000089,2026-01-09T05:05:54.336824,49.11,Merchandise,CUST_0047,cash
TXN_000069,2026-01-09T05:58:54.336824,50.9,Class Drop-in,CUST_0020,cash
TXN_000142,2026-01-09T06:05:54.336824,121.36,Personal Training,CUST_0007,card
TXN_000074,2026-01-09T07:43:54.336824,143.09,Merchandise,CUST_0063,cash
TXN_000191,2026-01-09T09:40:54.336824,117.93,Merchandise,CUST_0024,cash
TXN_000063,2026-01-09T10:20:54.336824,27.38,Monthly Membership,CUST_0064,card
TXN_000005,2026-01-09T11:37:54.336824,131.22,Personal Training,CUST_0042,card
TXN_000122,2026-01-09T14:11:54.336824,53.77,Personal Training,CUST_0010,card
TXN_000153,2026-01-10T06:57:54.336824,86.89,Personal Training,CUST_0007,card
TXN_000021,2026-01-10T07:18:54.336824,134.64,Day Pass,CUST_0029,cash
TXN_000046,2026-01-10T07:35:54.336824,105.15,Personal Training,CUST_0049,card
TXN_000019,2026-01-10T10:03:54.336824,90.68,Merchandise,CUST_0032,card
TXN_000095,2026-01-10T10:56:54.336824,36.74,Merchandise,CUST_0039,cash
TXN_000051,2026-01-11T06:45:54.336824,70.99,Day Pass,CUST_0030,card
