transaction_id,timestamp,amount,description,customer_id,payment_method
TXN_000019,2025-12-13T04:34:07.356216,91.2,Takeout,CUST_0033,card
TXN_000081,2025-12-13T05:00:07.356216,96.46,Takeout,CUST_0041,card
TXN_000113,2025-12-13T09:35:07.356216,95.85,Gift Card,CUST_0027,card
TXN_000140,2025-12-13T09:35:07.356216,53.09,Delivery,CUST_0055,cash
TXN_000149,2025-12-13T11:03:07.356216,55.07,Dine-in,CUST_0045,card
TXN_000186,2025-12-13T11:41:07.356216,106.39,Gift Card,CUST_0047,card
TXN_000058,2025-12-14T04:04:07.356216,96.21,Dine-in,CUST_0001,card
TXN_000111,2025-12-14T07:28:07.356216,59.86,Delivery,CUST_0056,card
TXN_000191,2025-12-14T07:41:07.356216,56.48,Catering,CUST_0064,card
TXN_000047,2025-12-14T09:22:07.356216,84.27,Delivery,CUST_0018,card
TXN_000088,2025-12-14T09:54:07.356216,79.79,Takeout,CUST_0065,card
TXN_000059,2025-12-14T10:19:07.356216,80.43,Gift Card,CUST_0006,cash
TXN_000108,2025-12-14T14:48:07.356216,63.91,Catering,CUST_0044,card
TXN_000120,2025-12-15T03:44:07.356216,45.28,Takeout,CUST_0026,card
TXN_000094,2025-12-15T04:20:07.356216,58.57,Takeout,CUST_0041,cash
TXN_000003,2025-12-15T04:31:07.356216,29.29,Delivery,CUST_0009,card
TXN_000115,2025-12-15T07:39:07.356216,82.78,Dine-in,CUST_0055,card
TXN_000029,2025-12-15T08:17:07.356216,32.67,Takeout,CUST_0030,card
TXN_000142,2025-12-15T11:30:07.356216,60.98,Gift Card,CUST_0008,card
TXN_000198,2025-12-15T11:34:07.356216,28.29,Gift Card,CUST_0044,card
TXN_000090,2025-12-15T12:12:07.356216,14.53,Gift Card,CUST_0038,cash
TXN_000041,2025-12-16T05:19:07.356216,67.24,Dine-in,CUST_0019,card
TXN_000144,2025-12-16T05:33:07.356216,78.62,Takeout,CUST_0014,card
TXN_000188,2025-12-16T05:37:07.356216,73.98,Delivery,CUST_0062,card
TXN_000061,2025-12-16T06:13:07.356216,36.51,Catering,CUST_0008,card
TXN_000170,2025-12-16T07:16:07.356216,55.37,Delivery,CUST_0063,card
TXN_000049,2025-12-16T09:33:07.356216,28.15,Takeout,CUST_0045,card
TXN_000139,2025-12-16T09:35:07.356216,18.28,Dine-in,CUST_0048,card
