transaction_id,timestamp,amount,description,customer_id,payment_method
TXN_000094,2025-12-13T05:08:07.354473,60.43,Dine-in,CUST_0029,card
TXN_000041,2025-12-13T06:25:07.354473,35.23,Takeout,CUST_0016,cash
TXN_000145,2025-12-13T06:30:07.354473,17.35,Takeout,CUST_0038,card
TXN_000182,2025-12-13T07:24:07.354473,30.69,Dine-in,CUST_0060,cash
TXN_000070,2025-12-13T10:25:07.354473,92.68,Gift Card,CUST_0041,cash
TXN_000068,2025-12-13T11:55:07.354473,65.36,Gift Card,CUST_0028,card
TXN_000065,2025-12-13T13:09:07.354473,70.3,Gift Card,CUST_0030,card
TXN_000148,2025-12-14T03:09:07.354473,45.29,Gift Card,CUST_0006,cash
TXN_000143,2025-12-14T03:27:07.354473,75.78,Gift Card,CUST_0008,card
TXN_000196,2025-12-14T04:06:07.354473,21.23,Catering,CUST_0053,card
TXN_000086,2025-12-14T06:47:07.354473,86.26,Dine-in,CUST_0050,card
TXN_000039,2025-12-14T09:33:07.354473,55.0,Catering,CUST_0035,card
TXN_000023,2025-12-14T14:19:07.354473,14.72,Gift Card,CUST_0005,cash
TXN_000089,2025-12-14T14:42:07.354473,68.38,Catering,CUST_0062,card
TXN_000004,2025-12-15T02:59:07.354473,17.34,Dine-in,CUST_0046,cash
TXN_000025,2025-12-15T04:03:07.354473,80.14,Delivery,CUST_0062,cash
TXN_000121,2025-12-15T04:20:07.354473,39.17,Dine-in,CUST_0029,card
TXN_000102,2025-12-15T05:38:07.354473,59.55,Dine-in,CUST_0026,cash
TXN_000170,2025-12-15T08:44:07.354473,68.06,Delivery,CUST_0058,card
TXN_000179,2025-12-15T08:50:07.354473,13.19,Catering,CUST_0011,cash
TXN_000120,2025-12-15T09:20:07.354473,63.31,Takeout,CUST_0022,card
TXN_000064,2025-12-15T11:02:07.354473,29.6,Delivery,CUST_0064,card
TXN_000046,2025-12-15T13:12:07.354473,80.47,Gift Card,CUST_0036,card
TXN_000153,2025-12-16T07:55:07.354473,73.58,Catering,CUST_0039,card
TXN_000019,2025-12-16T08:02:07.354473,29.54,Takeout,CUST_0022,card
TXN_000186,2025-12-17T03:16:07.354473,72.73,Catering,CUST_0066,card
TXN_000194,2025-12-17T05:14:07.354473,25.05,Delivery,CUST_0042,card
TXN_000193,2025-12-17T05:45:07.354473,57.21,Delivery,CUST_0017,card
TXN_000130,2025-12-17T07:09:07.354473,16.64,Catering,CUST_0006,card
TXN_000164,2025-12-17T10:32:07.354473,58.78,Catering,CUST_0025,card
TXN_000022,2025-12-17T11:18:07.354473,42.16,Catering,CUST_0011,card
TXN_000005,2025-12-17T13:36:07.354473,64.31,Delivery,CUST_0022,cash
TXN_000147,2025-12-18T03:51:07.354473,65.44,Delivery,CUST_0048,cash
TXN_000015,2025-12-18T07:38:07.354473,16.68,Delivery,CUST_0041,card
TXN_000062,2025-12-18T10:47:07.354473,78.18,Dine-in,CUST_0047,card
TXN_000020,2025-12-18T11:09:07.354473,29.95,Dine-in,CUST_0031,card
TXN_000076,2025-12-19T03:53:07.354473,28.37,Delivery,CUST_0051,card
TXN_000103,2025-12-19T07:21:07.354473,19.59,Takeout,CUST_0017,card
TXN_000106,2025-12-19T10:46:07.354473,71.15,Catering,CUST_0040,card
TXN_000171,2025-12-20T03:17:07.354473,49.94,Delivery,CUST_0013,card
TXN_000173,2025-12-20T04:59:07.354473,51.06,Gift Card,CUST_0056,cash
TXN_000055,2025-12-20T06:00:07.354473,92.29,Gift Card,CUST_0005,cash
TXN_000067,2025-12-20T07:11:07.354473,32.82,Delivery,CUST_0048,card
TXN_000093,2025-12-20T08:00:07.354473,44.28,Catering,CUST_0041,cash
TXN_000000,2025-12-20T09:21:07.354473,99.88,Gift Card,CUST_0036,card
TXN_000054,2025-12-20T12:35:07.354473,106.16,Gift Card,CUST_0048,card
TXN_000084,2025-12-20T13:06:07.354473,52.66,Catering,CUST_0057,cash
TXN_000071,2025-12-20T13:42:07.354473,71.36,Delivery,CUST_0049,card
TXN_000172,2025-12-20T14:04:07.354473,103.76,Catering,CUST_0023,cash
TXN_000160,2025-12-21T02:53:07.354473,23.65,Takeout,CUST_0025,card
TXN_000151,2025-12-21T06:31:07.354473,63.48,Gift Card,CUST_0004,card
