transaction_id,timestamp,amount,description,customer_id,payment_method
TXN_000050,2025-12-13T04:03:07.349151,126.76,Treatment,CUST_0048,card
TXN_000131,2025-12-13T06:03:07.349151,230.19,Haircut,CUST_0037,card
TXN_000178,2025-12-13T07:40:07.349151,255.94,Treatment,CUST_0062,card
TXN_000099,2025-12-13T08:47:07.349151,114.91,Extensions,CUST_0022,card
TXN_000150,2025-12-13T13:46:07.349151,65.19,Extensions,CUST_0016,card
TXN_000097,2025-12-13T13:58:07.349151,90.72,Extensions,CUST_0036,card
TXN_000085,2025-12-14T05:26:07.349151,68.9,Blowout,CUST_0022,cash
TXN_000042,2025-12-14T07:28:07.349151,83.15,Treatment,CUST_0042,cash
TXN_000107,2025-12-14T08:12:07.349151,244.81,Treatment,CUST_0004,card
TXN_000093,2025-12-14T10:20:07.349151,158.94,Blowout,CUST_0004,card
TXN_000041,2025-12-14T11:02:07.349151,129.14,Extensions,CUST_0020,card
TXN_000073,2025-12-14T12:35:07.349151,215.06,Color,CUST_0013,card
TXN_000161,2025-12-15T05:23:07.349151,104.59,Color,CUST_0003,card
TXN_000157,2025-12-15T05:54:07.349151,99.7,Highlights,CUST_0010,card
TXN_000165,2025-12-15T08:10:07.349151,103.69,Haircut,CUST_0031,card
TXN_000086,2025-12-15T12:45:07.349151,93.15,Color,CUST_0045,card
TXN_000037,2025-12-15T14:15:07.349151,166.14,Haircut,CUST_0015,card
TXN_000180,2025-12-15T14:34:07.349151,229.71,Blowout,CUST_0007,card
TXN_000043,2025-12-16T03:30:07.349151,76.93,Treatment,CUST_0022,card
TXN_000009,2025-12-16T03:58:07.349151,33.64,Treatment,CUST_0025,card
TXN_000062,2025-12-16T07:16:07.349151,65.8,Color,CUST_0035,card
TXN_000061,2025-12-16T11:33:07.349151,132.22,Haircut,CUST_0010,card
TXN_000024,2025-12-16T14:43:07.349151,47.47,Color,CUST_0005,cash
TXN_000053,2025-12-17T03:37:07.349151,41.09,Highlights,CUST_0015,card
TXN_000010,2025-12-17T05:02:07.349151,70.67,Haircut,CUST_0014,card
TXN_000132,2025-12-17T06:33:07.349151,73.16,Highlights,CUST_0013,cash
TXN_000139,2025-12-17T09:47:07.349151,41.94,Treatment,CUST_0040,card
TXN_000104,2025-12-17T12:35:07.349151,142.04,Treatment,CUST_0036,card
TXN_000096,2025-12-17T14:47:07.349151,102.0,Highlights,CUST_0003,card
TXN_000170,2025-12-18T07:40:07.349151,164.31,Treatment,CUST_0021,card
TXN_000039,2025-12-18T09:32:07.349151,159.63,Extensions,CUST_0047,card
TXN_000069,2025-12-18T10:27:07.349151,80.92,Highlights,CUST_0057,card
TXN_000187,2025-12-18T10:42:07.349151,39.38,Highlights,CUST_0030,card
TXN_000198,2025-12-18T12:41:07.349151,226.57,Color,CUST_0023,card
TXN_000055,2025-12-18T13:19:07.349151,83.84,Highlights,CUST_0012,card
TXN_000196,2025-12-19T06:04:07.349151,218.28,Highlights,CUST_0019,card
TXN_000185,2025-12-19T10:56:07.349151,243.01,Extensions,CUST_0035,card
TXN_000095,2025-12-19T11:32:07.349151,311.26,Treatment,CUST_0042,card
TXN_000047,2025-12-19T12:03:07.349151,223.11,Haircut,CUST_0036,card
