transaction_id,timestamp,amount,description,customer_id,payment_method
TXN_000031,2025-12-13T03:10:07.346927,87.62,Extensions,CUST_0047,card
TXN_000193,2025-12-13T06:28:07.346927,224.54,Extensions,CUST_0015,card
TXN_000001,2025-12-13T06:48:07.346927,104.52,Color,CUST_0017,card
TXN_000068,2025-12-13T07:43:07.346927,66.85,Blowout,CUST_0062,card
TXN_000043,2025-12-13T11:32:07.346927,43.57,Highlights,CUST_0014,cash
TXN_000179,2025-12-13T11:39:07.346927,42.01,Blowout,CUST_0064,card
TXN_000178,2025-12-13T13:09:07.346927,86.68,Extensions,CUST_0024,card
TXN_000197,2025-12-13T14:18:07.346927,198.65,Extensions,CUST_0039,card
TXN_000046,2025-12-14T02:52:07.346927,64.9,Color,CUST_0014,card
TXN_000014,2025-12-14T03:11:07.346927,237.94,Highlights,CUST_0025,card
TXN_000018,2025-12-14T06:05:07.346927,102.97,Highlights,CUST_0033,card
TXN_000011,2025-12-14T07:44:07.346927,155.26,Color,CUST_0052,card
TXN_000050,2025-12-14T12:08:07.346927,46.92,Highlights,CUST_0052,card
TXN_000171,2025-12-14T12:22:07.346927,133.3,Blowout,CUST_0038,card
TXN_000044,2025-12-14T12:36:07.346927,165.24,Extensions,CUST_0002,card
TXN_000162,2025-12-14T12:49:07.346927,29.61,Color,CUST_0060,cash
TXN_000032,2025-12-14T13:14:07.346927,151.22,Color,CUST_0059,card
TXN_000098,2025-12-15T04:16:07.346927,183.17,Blowout,CUST_0065,card
TXN_000157,2025-12-15T04:45:07.346927,163.9,Highlights,CUST_0029,card
TXN_000122,2025-12-15T05:03:07.346927,183.61,Highlights,CUST_0021,card
TXN_000130,2025-12-15T06:20:07.346927,27.95,Color,CUST_0006,card
TXN_000156,2025-12-15T09:03:07.346927,188.5,Haircut,CUST_0045,card
TXN_000131,2025-12-15T09:33:07.346927,126.44,Blowout,CUST_0016,card
TXN_000176,2025-12-15T12:12:07.346927,229.85,Treatment,CUST_0006,card
TXN_000139,2025-12-16T07:16:07.346927,87.93,Color,CUST_0034,cash
TXN_000048,2025-12-16T08:44:07.346927,133.61,Highlights,CUST_0046,cash
TXN_000123,2025-12-16T12:34:07.346927,90.81,Treatment,CUST_0064,card
TXN_000110,2025-12-16T12:56:07.346927,69.36,Color,CUST_0059,card
TXN_000142,2025-12-16T14:19:07.346927,44.3,Treatment,CUST_0054,card
TXN_000108,2025-12-17T03:14:07.346927,42.69,Highlights,CUST_0035,cash
TXN_000080,2025-12-17T05:38:07.346927,225.71,Extensions,CUST_0038,card
TXN_000188,2025-12-17T07:07:07.346927,146.14,Color,CUST_0018,card
TXN_000024,2025-12-17T07:22:07.346927,168.38,Haircut,CUST_0026,card
TXN_000111,2025-12-17T08:28:07.346927,235.47,Color,CUST_0010,card
TXN_000006,2025-12-17T08:54:07.346927,114.64,Haircut,CUST_0032,card
TXN_000161,2025-12-17T09:52:07.346927,208.88,Haircut,CUST_0052,card
TXN_000019,2025-12-18T03:39:07.346927,186.35,Haircut,CUST_0036,cash
TXN_000185,2025-12-18T04:32:07.346927,166.71,Blowout,CUST_0011,cash
TXN_000025,2025-12-18T05:05:07.346927,212.6,Color,CUST_0066,card
TXN_000164,2025-12-18T06:18:07.346927,128.44,Treatment,CUST_0056,card
TXN_000102,2025-12-18T07:06:07.346927,239.42,Highlights,CUST_0022,card
TXN_000028,2025-12-18T07:36:07.346927,33.74,Haircut,CUST_0051,cash
TXN_000105,2025-12-18T12:19:07.346927,246.91,Blowout,CUST_0056,cash
TXN_000128,2025-12-19T03:14:07.346927,84.94,Color,CUST_0003,card
TXN_000096,2025-12-19T06:19:07.346927,202.11,Treatment,CUST_0021,card
TXN_000196,2025-12-19T07:02:07.346927,309.36,Highlights,CUST_0018,card
